Predictor,Treated,Synthetic,Diff Abs.,Diff
Female_Ed_Some_College_Or_Associates,34.19,34.254,0.064,-0.064
Male_Ed_Bachelors_Degree_Or_Higher,16.826,16.768,0.058,0.058
Mean.nonfamily.income.dollars,51.701,51.755,0.054,-0.054
In.labor.force_Civilian.labor.force_Unemployed,8.148,8.201,0.053,-0.053
X_INDUSTRY_Retail.trade,11.3,11.248,0.052,0.052
Age_45_To_64,27.287,27.237,0.05,0.05
Female_Ed_Bachelors_Degree_Or_Higher,17.797,17.751,0.046,0.046
X_INDUSTRY_Agriculture..forestry..fishing.and.hunting..and.mining,8.754,8.798,0.044,-0.044
X_CLASS.OF.WORKER_Government.workers,18.75,18.71,0.04,0.04
Male_Ed_High_School_Graduated,34.49,34.45,0.04,0.04
X_CLASS.OF.WORKER_Self.employed.in.own.not.incorporated.business.workers,9.192,9.153,0.039,0.039
Hispanic.or.Latino.of.any.race_Cuban,0.067,0.102,0.035,-0.035
Income_75k_100k,11.277,11.311,0.034,-0.034
With.retirement.income,18.552,18.586,0.034,-0.034
Civilian.noninstitutionalized.population.under.18.years,24.616,24.583,0.033,0.033
Age_25_To_44,23.541,23.574,0.033,-0.033
In.labor.force_Civilian.labor.force_Employed,91.347,91.315,0.032,0.032
With.Social.Security_Mean.Social.Security.income.dollars,51.494,51.462,0.032,0.032
X_INDUSTRY_Professional..scientific..and.management..and.administrative.and.waste.management.services,6.361,6.33,0.031,0.031
Age_20_To_24,6.145,6.114,0.031,0.031
Age_10_To_19,13.851,13.822,0.029,0.029
X_INDUSTRY_Transportation.and.warehousing..and.utilities,5.562,5.589,0.027,-0.027
X_COMMUTING.TO.WORK_Walked,3.037,3.063,0.026,-0.026
X_OCCUPATION_Sales.and.office.occupations,22.493,22.468,0.025,0.025
X_COMMUTING.TO.WORK_Car..truck..or.van....carpooled,11.521,11.501,0.02,0.02
In.labor.force_Armed.Forces,0.504,0.484,0.02,0.02
Income_Over_200k,2.23,2.21,0.02,0.02
Two.or.more.races_White.and.American.Indian.and.Alaska.Native,0.792,0.81,0.018,-0.018
X_INDUSTRY_Finance.and.insurance..and.real.estate.and.rental.and.leasing,4.66,4.678,0.018,-0.018
Age_65_To_44,16.274,16.259,0.015,0.015
With.health.insurance.coverage_With.private.health.insurance,62.826,62.813,0.013,0.013
X_INDUSTRY_Construction,7.645,7.633,0.012,0.012
One.race_Asian_Chinese,0.26,0.249,0.011,0.011
X_INDUSTRY_Manufacturing,10.326,10.316,0.01,0.01
X_COMMUTING.TO.WORK_Worked.at.home,4.998,5.008,0.01,-0.01
Families,68.516,68.508,0.008,0.008
X_INDUSTRY_Public.administration,6.053,6.061,0.008,-0.008
Nonfamily.households,31.484,31.492,0.008,-0.008
Income_50k_75k,18.724,18.732,0.008,-0.008
X_INDUSTRY_Information,1.461,1.454,0.007,0.007
Two.or.more.races_White.and.Black.or.African.American,0.441,0.434,0.007,0.007
Two.or.more.races_White.and.Asian,0.243,0.25,0.007,-0.007
Females.16.years.and.over,49.97,49.963,0.007,0.007
X_COMMUTING.TO.WORK_Public.transportation.excluding.taxicab,0.698,0.703,0.005,-0.005
One.race_Asian_Asian.Indian,0.215,0.211,0.004,0.004
X_INDUSTRY_Wholesale.trade,2.495,2.499,0.004,-0.004
X_INDUSTRY_Other.services..except.public.administration,4.796,4.799,0.003,-0.003
Civilian.noninstitutionalized.population,96.992,96.995,0.003,-0.003
One.race_Asian_Filipino,0.255,0.252,0.003,0.003
Female,49.694,49.696,0.002,-0.002
One.race_Native.Hawaiian.and.Other.Pacific.Islander,0.084,0.083,0.001,0.001
X_CLASS.OF.WORKER_Unpaid.family.workers,0.309,0.308,0.001,0.001
One.race_Asian_Other.Asian,0.321,0.321,0,0
Two.or.more.races_Black.or.African.American.and.American.Indian.and.Alaska.Native,0.051,0.051,0,0
With.health.insurance.coverage_With.public.coverage,33.612,33.612,0,0
