County,W Weight,Unit Number
"Eagle County, Colorado",0.003,616
"El Paso County, Colorado",0.004,629
"Elkhart County, Indiana",0.004,633
"Ellis County, Oklahoma",0.003,636
"Emery County, Utah",0.005,639
"Esmeralda County, Nevada",0.004,649
"Essex County, Massachusetts",0.003,650
"Essex County, New Jersey",0.005,651
"Eureka County, Nevada",0.005,657
"Fairfax city, Virginia",0.003,661
"Forsyth County, Georgia",0.004,700
"Franklin County, Alabama",0.003,704
"Fremont County, Colorado",0.003,729
"Galax city, Virginia",0.005,743
"Garfield County, Colorado",0.003,748
"Garfield County, Oklahoma",0.004,751
"Garfield County, Utah",0.003,752
"Gilmer County, Georgia",0.003,770
"Glades County, Florida",0.08,774
"Gordon County, Georgia",0.005,785
"Goshen County, Wyoming",0.004,786
"Greene County, North Carolina",0.004,829
"Greer County, Oklahoma",0.004,836
"Gwinnett County, Georgia",0.003,847
"Habersham County, Georgia",0.004,849
"Hall County, Nebraska",0.003,854
"Hamblen County, Tennessee",0.004,855
"Hampden County, Massachusetts",0.003,864
"Harnett County, North Carolina",0.004,893
"Hayes County, Nebraska",0.004,908
"Highlands County, Florida",0.003,936
"Hillsborough County, Florida",0.003,938
"Hudson County, New Jersey",0.005,966
"Huerfano County, Colorado",0.003,967
"Iron County, Utah",0.004,995
"Jackson County, Colorado",0.003,1008
"Jefferson County, Oklahoma",0.008,1045
"Johnson County, Arkansas",0.003,1058
"Johnston County, North Carolina",0.003,1066
"Juab County, Utah",0.004,1073
"Kimball County, Nebraska",0.005,1099
"Kingfisher County, Oklahoma",0.003,1104
"Kit Carson County, Colorado",0.003,1109
"Kosciusko County, Indiana",0,1122
"Lafayette County, Florida",0.003,1133
"Lake County, Florida",0.003,1139
"Lake County, Indiana",0.004,1140
"Laramie County, Wyoming",0.003,1159
"Lee County, Florida",0.003,1184
"Lee County, North Carolina",0.003,1189
"Lehigh County, Pennsylvania",0.004,1193
"Liberty County, Georgia",0.004,1208
"Lincoln County, Colorado",0.004,1213
"Lincoln County, Nebraska",0.004,1220
"Lincoln County, Nevada",0.003,1221
"Logan County, Colorado",0.004,1239
"Long County, Georgia",0.004,1246
"Louisa County, Iowa",0.003,1251
"Love County, Oklahoma",0.004,1254
"Lyon County, Nevada",0.004,1270
"Madison County, Nebraska",0.003,1286
"Major County, Oklahoma",0.003,1297
"Manassas Park city, Virginia",0.004,1298
"Manassas city, Virginia",0.007,1299
"Manatee County, Florida",0.004,1300
"Marshall County, Alabama",0.004,1319
"Marshall County, Iowa",0.003,1321
"Marshall County, Oklahoma",0.004,1325
"Martin County, Florida",0.004,1329
"McClain County, Oklahoma",0.003,1342
"Mesa County, Colorado",0.003,1387
"Middlesex County, New Jersey",0.003,1394
"Moffat County, Colorado",0.004,1418
"Monroe County, Florida",0.004,1424
"Monroe County, Pennsylvania",0.002,1433
"Montezuma County, Colorado",0.004,1438
"Montgomery County, North Carolina",0.004,1448
"Montrose County, Colorado",0.003,1455
"Morrill County, Nebraska",0.003,1469
"Murray County, Georgia",0.003,1477
"Muscatine County, Iowa",0.003,1480
"Natrona County, Wyoming",0.003,1492
"New York County, New York",0.005,1504
"Noble County, Indiana",0.003,1517
"Nobles County, Minnesota",0.003,1520
"Nye County, Nevada",0.003,1534
"Oceana County, Michigan",0.004,1539
"Okanogan County, Washington",0.003,1548
"Okeechobee County, Florida",0.005,1549
"Oklahoma County, Oklahoma",0.003,1551
"Onslow County, North Carolina",0.005,1560
"Orange County, Florida",0.003,1563
"Orange County, New York",0.004,1565
"Palm Beach County, Florida",0.004,1599
"Passaic County, New Jersey",0.003,1609
"Perkins County, Nebraska",0.004,1627
"Pershing County, Nevada",0.005,1638
"Phelps County, Nebraska",0.004,1642
"Phillips County, Colorado",0.003,1645
"Pike County, Arkansas",0.004,1657
"Piute County, Utah",0.023,1672
"Platte County, Nebraska",0.003,1674
"Polk County, Florida",0.003,1684
"Polk County, Georgia",0.006,1685
"Prince William County, Virginia",0.003,1722
"Providence County, Rhode Island",0.003,1723
"Queens County, New York",0.006,1740
"Randolph County, North Carolina",0.004,1753
"Rich County, Utah",0.003,1769
"Richmond County, New York",0.006,1777
"Rio Blanco County, Colorado",0.004,1782
"Rockland County, New York",0.004,1803
"Roger Mills County, Oklahoma",0.004,1804
"Saguache County, Colorado",0.009,1827
"Saline County, Nebraska",0.003,1831
"Salt Lake County, Utah",0.004,1832
"Sampson County, North Carolina",0.005,1833
"Scotts Bluff County, Nebraska",0.004,1867
"Sebastian County, Arkansas",0.003,1870
"Sedgwick County, Colorado",0.004,1871
"Seminole County, Florida",0.003,1872
"Sevier County, Utah",0.003,1881
"Sioux County, Iowa",0.003,1905
