Predictor,W Weight
"Barnstable County, Massachusetts",0
"Barnwell County, South Carolina",0
"Barren County, Kentucky",0
"Barron County, Wisconsin",0
"Barry County, Michigan",0
"Bates County, Missouri",0
"Bath County, Kentucky",0
"Bath County, Virginia",0
"Baxter County, Arkansas",0
"Bay County, Michigan",0
"Bayfield County, Wisconsin",0
"Beaufort County, North Carolina",0
"Beaver County, Pennsylvania",0
"Beaverhead County, Montana",0
"Bedford County, Pennsylvania",0
"Belknap County, New Hampshire",0
"Bell County, Kentucky",0
"Belmont County, Ohio",0
"Bennington County, Vermont",0
"Bent County, Colorado",0
"Benton County, Indiana",0
"Benton County, Iowa",0
"Benton County, Minnesota",0.007
"Benton County, Mississippi",0
"Benton County, Missouri",0
"Benton County, Oregon",0.018
"Benton County, Tennessee",0
"Benzie County, Michigan",0
"Bergen County, New Jersey",0
"Berks County, Pennsylvania",0
"Berkshire County, Massachusetts",0
"Berrien County, Michigan",0
"Bertie County, North Carolina",0
"Bibb County, Alabama",0
"Bienville Parish, Louisiana",0
"Black Hawk County, Iowa",0
"Bladen County, North Carolina",0
"Blaine County, Idaho",0.025
"Blaine County, Montana",0
"Blair County, Pennsylvania",0
"Bland County, Virginia",0
"Bledsoe County, Tennessee",0
"Blount County, Alabama",0
"Blount County, Tennessee",0
"Bolivar County, Mississippi",0
"Bond County, Illinois",0
"Bonner County, Idaho",0
"Boone County, Arkansas",0
"Boone County, Illinois",0
"Boone County, Iowa",0
"Botetourt County, Virginia",0
"Boundary County, Idaho",0
"Bourbon County, Kansas",0
"Bourbon County, Kentucky",0
"Bowie County, Texas",0
"Box Butte County, Nebraska",0
"Boyd County, Kentucky",0
"Boyle County, Kentucky",0
"Bracken County, Kentucky",0
"Bradford County, Florida",0
"Bradford County, Pennsylvania",0
"Bradley County, Arkansas",0
"Branch County, Michigan",0
"Breathitt County, Kentucky",0
"Breckinridge County, Kentucky",0
"Bremer County, Iowa",0
"Bristol County, Massachusetts",0
"Bristol County, Rhode Island",0
"Brooks County, Georgia",0
"Brooks County, Texas",0
"Broome County, New York",0
"Brown County, Indiana",0
"Brown County, Minnesota",0
"Brown County, Ohio",0
"Brown County, Texas",0
"Brunswick County, Virginia",0
"Buchanan County, Missouri",0
"Buckingham County, Virginia",0
"Bucks County, Pennsylvania",0
"Buffalo County, Wisconsin",0
"Bullock County, Alabama",0
"Bureau County, Illinois",0
"Burke County, Georgia",0
"Burke County, North Carolina",0
"Burlington County, New Jersey",0
"Burnett County, Wisconsin",0
"Burt County, Nebraska",0
"Butler County, Alabama",0
"Butler County, Kansas",0
"Butler County, Kentucky",0
"Butler County, Missouri",0
"Butler County, Nebraska",0
"Butler County, Ohio",0
"Butler County, Pennsylvania",0
"Butte County, California",0
"Cabell County, West Virginia",0
"Caddo Parish, Louisiana",0
"Calaveras County, California",0
"Caldwell County, Kentucky",0
"Caldwell County, Missouri",0
"Caldwell County, North Carolina",0
"Caledonia County, Vermont",0
"Calhoun County, Alabama",0
"Calhoun County, Arkansas",0
"Calhoun County, Illinois",0
"Calhoun County, Iowa",0
"Calhoun County, Michigan",0
"Calhoun County, Mississippi",0
"Calhoun County, West Virginia",0
"Callahan County, Texas",0
"Callaway County, Missouri",0
"Calvert County, Maryland",0
"Cambria County, Pennsylvania",0
"Camden County, New Jersey",0
"Cameron County, Pennsylvania",0
"Cameron Parish, Louisiana",0
"Camp County, Texas",0
"Campbell County, Kentucky",0
"Campbell County, Tennessee",0
"Campbell County, Virginia",0
"Cannon County, Tennessee",0
"Cape May County, New Jersey",0
"Carbon County, Montana",0
"Carbon County, Pennsylvania",0
"Carbon County, Utah",0
"Caribou County, Idaho",0
"Carlton County, Minnesota",0
"Caroline County, Maryland",0
"Carroll County, Arkansas",0
"Carroll County, Georgia",0.072
"Carroll County, Indiana",0
"Carroll County, Iowa",0
"Carroll County, Kentucky",0
"Carroll County, Maryland",0
"Carroll County, Mississippi",0
"Carroll County, Missouri",0
"Carroll County, New Hampshire",0
"Carroll County, Ohio",0
"Carroll County, Tennessee",0
"Carroll County, Virginia",0
"Carter County, Kentucky",0
"Carter County, Missouri",0
"Carter County, Oklahoma",0
"Carter County, Tennessee",0
"Cascade County, Montana",0
"Casey County, Kentucky",0
"Cass County, Illinois",0
"Cass County, Indiana",0
"Cass County, Iowa",0
"Cass County, Michigan",0
"Cass County, Nebraska",0
"Cass County, Texas",0
"Caswell County, North Carolina",0
"Catawba County, North Carolina",0
"Cattaraugus County, New York",0
"Cavalier County, North Dakota",0
"Cayuga County, New York",0
"Cecil County, Maryland",0
"Cedar County, Iowa",0
"Cedar County, Missouri",0
"Cedar County, Nebraska",0
"Cerro Gordo County, Iowa",0
"Chambers County, Alabama",0
"Chariton County, Missouri",0
"Charlevoix County, Michigan",0
"Charlotte County, Florida",0
"Charlotte County, Virginia",0
"Chase County, Nebraska",0
"Chattooga County, Georgia",0
"Chautauqua County, New York",0
"Cheatham County, Tennessee",0.002
"Cheboygan County, Michigan",0
"Chemung County, New York",0
"Chenango County, New York",0
"Cherokee County, Alabama",0
"Cherokee County, Kansas",0
"Cherokee County, North Carolina",0
"Cherokee County, South Carolina",0
"Cherokee County, Texas",0
"Cheshire County, New Hampshire",0
"Chester County, South Carolina",0
"Chester County, Tennessee",0
"Chesterfield County, South Carolina",0
"Cheyenne County, Nebraska",0
"Chickasaw County, Iowa",0
"Chickasaw County, Mississippi",0
"Chilton County, Alabama",0.007
"Chippewa County, Michigan",0
"Chippewa County, Minnesota",0
"Chippewa County, Wisconsin",0
"Chittenden County, Vermont",0.01
"Choctaw County, Alabama",0
"Choctaw County, Mississippi",0
"Choctaw County, Oklahoma",0
"Chowan County, North Carolina",0
"Christian County, Illinois",0
"Christian County, Kentucky",0.014
"Churchill County, Nevada",0
"Citrus County, Florida",0
"Claiborne County, Mississippi",0
"Claiborne County, Tennessee",0
"Claiborne Parish, Louisiana",0
"Clallam County, Washington",0
"Clare County, Michigan",0
"Clarendon County, South Carolina",0
"Clarion County, Pennsylvania",0
"Clark County, Arkansas",0
"Clark County, Illinois",0
"Clark County, Kentucky",0
"Clark County, Ohio",0
"Clark County, Wisconsin",0
"Clarke County, Alabama",0
"Clarke County, Mississippi",0
"Clarke County, Virginia",0
"Clatsop County, Oregon",0
"Clay County, Georgia",0
"Clay County, Indiana",0
"Clay County, Kansas",0
"Clay County, Kentucky",0
"Clay County, Mississippi",0
"Clay County, Nebraska",0
"Clay County, North Carolina",0
"Clay County, South Dakota",0.006
"Clay County, Texas",0
"Clayton County, Iowa",0
"Clearfield County, Pennsylvania",0
"Cleburne County, Alabama",0
"Clermont County, Ohio",0.031
"Cleveland County, North Carolina",0
"Clinton County, Illinois",0
"Clinton County, Indiana",0
"Clinton County, Iowa",0
"Clinton County, Kentucky",0
"Clinton County, Michigan",0
"Clinton County, Missouri",0
"Clinton County, New York",0
"Clinton County, Ohio",0
"Clinton County, Pennsylvania",0
"Cloud County, Kansas",0
"Coahoma County, Mississippi",0
"Cochise County, Arizona",0.044
"Cocke County, Tennessee",0
"Codington County, South Dakota",0
"Coffee County, Tennessee",0
"Coffey County, Kansas",0
"Colbert County, Alabama",0
"Cole County, Missouri",0.022
"Coles County, Illinois",0
"Colleton County, South Carolina",0
"Colorado County, Texas",0
"Columbia County, Arkansas",0
"Columbia County, Florida",0
"Columbia County, New York",0
"Columbia County, Oregon",0
"Columbia County, Pennsylvania",0
"Columbia County, Wisconsin",0
"Columbiana County, Ohio",0
"Columbus County, North Carolina",0
"Colusa County, California",0.006
"Comanche County, Texas",0
"Conecuh County, Alabama",0
"Conejos County, Colorado",0
"Conway County, Arkansas",0
"Cook County, Georgia",0
"Cook County, Illinois",0
"Cooke County, Texas",0
"Cooper County, Missouri",0
"Coos County, New Hampshire",0
"Coos County, Oregon",0
"Coosa County, Alabama",0
"Copiah County, Mississippi",0
"Cortland County, New York",0
"Coshocton County, Ohio",0
"Costilla County, Colorado",0
"Cotton County, Oklahoma",0
"Covington County, Alabama",0
"Covington County, Mississippi",0
"Cowley County, Kansas",0
"Cowlitz County, Washington",0
"Craig County, Virginia",0
"Crawford County, Arkansas",0.01
"Crawford County, Indiana",0
"Crawford County, Kansas",0
"Crawford County, Missouri",0
"Crawford County, Ohio",0
"Crawford County, Pennsylvania",0
"Crawford County, Wisconsin",0
"Crenshaw County, Alabama",0
"Crisp County, Georgia",0
"Crittenden County, Kentucky",0
"Crockett County, Tennessee",0
"Cross County, Arkansas",0
"Crow Wing County, Minnesota",0
"Cullman County, Alabama",0
"Cumberland County, Illinois",0
"Cumberland County, Kentucky",0
"Cumberland County, Maine",0
"Cumberland County, New Jersey",0
"Currituck County, North Carolina",0.015
"Curry County, Oregon",0
"Custer County, Nebraska",0
"Cuyahoga County, Ohio",0
"Dakota County, Minnesota",0.061
"Dakota County, Nebraska",0
"Dale County, Alabama",0
"Dallas County, Alabama",0
"Dallas County, Missouri",0
"Darke County, Ohio",0
"Darlington County, South Carolina",0
"Dauphin County, Pennsylvania",0
"Davidson County, North Carolina",0
"Davie County, North Carolina",0
"Daviess County, Kentucky",0
"Daviess County, Missouri",0
"Davis County, Iowa",0
"Dawson County, Nebraska",0
"De Soto Parish, Louisiana",0
"DeKalb County, Alabama",0
"DeKalb County, Illinois",0.033
"DeKalb County, Indiana",0
"Fluvanna County, Virginia",0.017
"Fond du Lac County, Wisconsin",0
"Forest County, Pennsylvania",0
"Forrest County, Mississippi",0.016
"Franklin County, Alabama",0
"Franklin County, Georgia",0
"Franklin County, Indiana",0
"Franklin County, Iowa",0
"Franklin County, Kansas",0
"Franklin County, Kentucky",0
"Franklin County, Maine",0
"Franklin County, Massachusetts",0
"Franklin County, Mississippi",0
"Franklin County, Missouri",0
"Franklin County, New York",0
"Franklin County, Tennessee",0
"Franklin County, Texas",0
"Franklin County, Vermont",0
"Franklin County, Virginia",0
"Franklin Parish, Louisiana",0
"Freeborn County, Minnesota",0
"Freestone County, Texas",0
"Fremont County, Colorado",0
"Fremont County, Idaho",0.012
"Fremont County, Iowa",0
"Fulton County, Illinois",0
"Fulton County, Indiana",0
"Fulton County, New York",0
"Fulton County, Ohio",0
"Fulton County, Pennsylvania",0
"Gadsden County, Florida",0
"Gage County, Nebraska",0
"Gallatin County, Kentucky",0
"Gallia County, Ohio",0
"Garland County, Arkansas",0
"Garrard County, Kentucky",0
"Garrett County, Maryland",0
"Garvin County, Oklahoma",0
"Gasconade County, Missouri",0
"Geauga County, Ohio",0
"Gem County, Idaho",0
"Genesee County, Michigan",0
"Genesee County, New York",0
"Geneva County, Alabama",0
"Gentry County, Missouri",0
"Georgetown County, South Carolina",0
"Gibson County, Indiana",0
"Gibson County, Tennessee",0
"Gila County, Arizona",0
"Gilchrist County, Florida",0
"Giles County, Tennessee",0
"Giles County, Virginia",0
"Gilmer County, Georgia",0
"Glacier County, Montana",0
"Gladwin County, Michigan",0
"Glenn County, California",0
"Gloucester County, New Jersey",0
"Gloucester County, Virginia",0
"Goliad County, Texas",0.001
"Goochland County, Virginia",0
"Goodhue County, Minnesota",0
"Gooding County, Idaho",0
"Grady County, Georgia",0
"Grafton County, New Hampshire",0
"Graham County, North Carolina",0
"Grainger County, Tennessee",0
"Grand Forks County, North Dakota",0
"Grant County, Arkansas",0
"Grant County, Indiana",0
"Grant County, Kansas",0.016
"Grant County, Kentucky",0
"Grant County, New Mexico",0
"Grant County, West Virginia",0
"Grant County, Wisconsin",0
"Granville County, North Carolina",0
"Gratiot County, Michigan",0
"Graves County, Kentucky",0
"Grays Harbor County, Washington",0
"Grayson County, Kentucky",0
"Grayson County, Texas",0
"Grayson County, Virginia",0
"Green County, Kentucky",0
"Green County, Wisconsin",0
"Green Lake County, Wisconsin",0
"Greenbrier County, West Virginia",0
"Greene County, Alabama",0
"Greene County, Indiana",0
"Greene County, New York",0
"Greene County, North Carolina",0
"Greene County, Ohio",0
"Greene County, Pennsylvania",0
"Greene County, Tennessee",0
"Greensville County, Virginia",0
"Greenup County, Kentucky",0
"Greenwood County, South Carolina",0
"Grimes County, Texas",0
"Grundy County, Missouri",0
"Grundy County, Tennessee",0
"Guadalupe County, New Mexico",0
"Guernsey County, Ohio",0
"Hale County, Alabama",0
"Hale County, Texas",0.025
"Halifax County, North Carolina",0
"Halifax County, Virginia",0
"Hamilton County, Florida",0
"Hamilton County, Illinois",0
"Hamilton County, Iowa",0
"Hamilton County, Nebraska",0
"Hamilton County, New York",0
"Hamilton County, Ohio",0
"Hampden County, Massachusetts",0
"Hampshire County, Massachusetts",0
"Hampshire County, West Virginia",0
"Hampton County, South Carolina",0
"Hancock County, Georgia",0
"Hancock County, Kentucky",0
"Hancock County, Maine",0
"Hancock County, Ohio",0
"Hancock County, Tennessee",0
"Hancock County, West Virginia",0
"Hanover County, Virginia",0
"Hanson County, South Dakota",0
"Haralson County, Georgia",0
"Hardee County, Florida",0
"Hardeman County, Tennessee",0
"Hardin County, Iowa",0
"Hardin County, Tennessee",0
"Harford County, Maryland",0.029
"Harrison County, Indiana",0
"Harrison County, Iowa",0
"Harrison County, Kentucky",0
"Harrison County, Missouri",0
"Harrison County, Ohio",0
"Harrison County, West Virginia",0
"Hart County, Georgia",0
"Hart County, Kentucky",0
"Hartford County, Connecticut",0
"Harvey County, Kansas",0
"Haskell County, Oklahoma",0
"Hawkins County, Tennessee",0
"Haywood County, North Carolina",0
"Haywood County, Tennessee",0
"Heard County, Georgia",0
"Hempstead County, Arkansas",0
"Henderson County, Illinois",0
"Henderson County, Kentucky",0
"Henderson County, Tennessee",0
"Henderson County, Texas",0
"Hendry County, Florida",0.015
"Henry County, Alabama",0
"Henry County, Illinois",0
"Henry County, Indiana",0
"Henry County, Iowa",0
"Henry County, Kentucky",0
"Henry County, Missouri",0
"Henry County, Ohio",0
"Henry County, Tennessee",0
"Henry County, Virginia",0
"Herkimer County, New York",0
"Hernando County, Florida",0
"Hertford County, North Carolina",0
"Hickman County, Tennessee",0
"Hidalgo County, New Mexico",0
"Highland County, Ohio",0
"Highland County, Virginia",0
"Highlands County, Florida",0
"Hill County, Montana",0
"Hill County, Texas",0
"Hillsborough County, New Hampshire",0.002
"Hillsdale County, Michigan",0
"Hinds County, Mississippi",0
"Hocking County, Ohio",0
"Hockley County, Texas",0.014
"Holmes County, Florida",0
"Holmes County, Mississippi",0
"Holmes County, Ohio",0.01
"Hopkins County, Kentucky",0
"Hopkins County, Texas",0
"Hot Spring County, Arkansas",0
"Houghton County, Michigan",0
"Houston County, Minnesota",0
"Howard County, Iowa",0
"Howard County, Missouri",0
"Howard County, Nebraska",0
"Howell County, Missouri",0
"Hudspeth County, Texas",0
"Hughes County, Oklahoma",0
"Humboldt County, California",0.012
"Humphreys County, Mississippi",0
"Humphreys County, Tennessee",0
"Hunt County, Texas",0
"Hunterdon County, New Jersey",0
"Huntingdon County, Pennsylvania",0
"Huntington County, Indiana",0
"Huron County, Michigan",0
"Huron County, Ohio",0
"Hutchinson County, South Dakota",0
"Hyde County, North Carolina",0
"Iberia Parish, Louisiana",0
"Iberville Parish, Louisiana",0
"Independence County, Arkansas",0
"Indiana County, Pennsylvania",0
"Ingham County, Michigan",0
"Ionia County, Michigan",0
"Iosco County, Michigan",0
"Iowa County, Wisconsin",0
"Iron County, Michigan",0
"Iron County, Wisconsin",0
"Irwin County, Georgia",0
"Isabella County, Michigan",0
"Isanti County, Minnesota",0
"Island County, Washington",0
"Isle of Wight County, Virginia",0
"Itasca County, Minnesota",0
"Itawamba County, Mississippi",0
"Izard County, Arkansas",0
"Jack County, Texas",0
"Jackson County, Alabama",0
"Jackson County, Arkansas",0
"Jackson County, Florida",0
"Jackson County, Illinois",0.005
"Jackson County, Indiana",0
"Jackson County, Iowa",0
"Jackson County, Kansas",0
"Jackson County, Kentucky",0
"Jackson County, Michigan",0
"Jackson County, Minnesota",0
"Jackson County, Mississippi",0.016
"Jackson County, Missouri",0.013
"Jackson County, Ohio",0
"Jackson County, Oregon",0
"Jackson County, Tennessee",0
"Jackson County, West Virginia",0
"Jackson County, Wisconsin",0
"Jackson Parish, Louisiana",0
"Jasper County, Georgia",0
"Jasper County, Indiana",0
"Jasper County, Iowa",0
"Jasper County, Mississippi",0
"Jasper County, Missouri",0
"Jasper County, Texas",0
"Jefferson County, Alabama",0.015
"Jefferson County, Arkansas",0
"Jefferson County, Florida",0
"Jefferson County, Georgia",0
"Jefferson County, Indiana",0
"Jefferson County, Iowa",0
"Jefferson County, Kansas",0
"Jefferson County, Missouri",0
"Jefferson County, Ohio",0
"Jefferson County, Oklahoma",0
"Jefferson County, Pennsylvania",0
"Jefferson County, Texas",0
"Jefferson County, Washington",0
"Jefferson County, Wisconsin",0
"Jefferson Davis County, Mississippi",0
"Jefferson Davis Parish, Louisiana",0
"Jefferson Parish, Louisiana",0.035
"Jennings County, Indiana",0
"Jo Daviess County, Illinois",0
"Johnson County, Arkansas",0
"Johnson County, Georgia",0
"Johnson County, Kentucky",0
"Johnson County, Tennessee",0
"Johnston County, Oklahoma",0
"Jones County, Iowa",0
"Jones County, Mississippi",0
"Jones County, Texas",0
"Josephine County, Oregon",0
"Juniata County, Pennsylvania",0
"Kalkaska County, Michigan",0
"Kanabec County, Minnesota",0
"Kanawha County, West Virginia",0
"Kandiyohi County, Minnesota",0
"Kankakee County, Illinois",0
"Kay County, Oklahoma",0
"Keith County, Nebraska",0
"Kemper County, Mississippi",0
"Kennebec County, Maine",0
"Kenosha County, Wisconsin",0
"Kent County, Maryland",0
"Kent County, Michigan",0.036
"Kent County, Rhode Island",0
"Kenton County, Kentucky",0
"Keokuk County, Iowa",0
"Kewaunee County, Wisconsin",0
"Kidder County, North Dakota",0
"King and Queen County, Virginia",0
"Kingfisher County, Oklahoma",0
"Kingman County, Kansas",0
"Kings County, California",0
"Kittson County, Minnesota",0
"Klamath County, Oregon",0
"Knox County, Illinois",0
"Knox County, Indiana",0
"Knox County, Kentucky",0
"Knox County, Maine",0
"Knox County, Missouri",0
"Knox County, Nebraska",0
"Knox County, Ohio",0
"Koochiching County, Minnesota",0
"Kosciusko County, Indiana",0
"Kossuth County, Iowa",0
"La Paz County, Arizona",0
"LaGrange County, Indiana",0
"LaPorte County, Indiana",0
"LaSalle County, Illinois",0
"LaSalle Parish, Louisiana",0
"Labette County, Kansas",0
"Lackawanna County, Pennsylvania",0
"Laclede County, Missouri",0
"Lafayette County, Missouri",0
"Lafayette County, Wisconsin",0
"Lafourche Parish, Louisiana",0
"Lake County, California",0
"Lake County, Illinois",0.004
"Lake County, Indiana",0
"Lake County, Montana",0
"Lake County, Ohio",0
"Lamar County, Alabama",0
"Lamar County, Georgia",0
"Lamar County, Texas",0
"Lampasas County, Texas",0.018
"Lancaster County, Virginia",0
"Langlade County, Wisconsin",0
"Lapeer County, Michigan",0
"Larue County, Kentucky",0
"Lassen County, California",0
"Lauderdale County, Alabama",0
"Lauderdale County, Mississippi",0
"Lauderdale County, Tennessee",0
"Laurel County, Kentucky",0
"Laurens County, Georgia",0
"Laurens County, South Carolina",0
"Lawrence County, Alabama",0
"Lawrence County, Arkansas",0
"Lawrence County, Illinois",0
"Lawrence County, Indiana",0
"Lawrence County, Kentucky",0
"Lawrence County, Mississippi",0
"Lawrence County, Missouri",0
"Lawrence County, Ohio",0
"Lawrence County, Pennsylvania",0
"Lawrence County, South Dakota",0
"Lawrence County, Tennessee",0
"Le Flore County, Oklahoma",0
"Le Sueur County, Minnesota",0
"Leake County, Mississippi",0
"Lee County, Arkansas",0
"Lee County, Georgia",0
"Lee County, Illinois",0
"Lee County, Iowa",0
"Lee County, Kentucky",0
"Lee County, South Carolina",0
"Lee County, Texas",0
"Lee County, Virginia",0
"Leelanau County, Michigan",0
"Lenawee County, Michigan",0
"Lenoir County, North Carolina",0
"Leon County, Texas",0
"Letcher County, Kentucky",0
"Levy County, Florida",0
"Lewis County, Kentucky",0
"Lewis County, Missouri",0
"Lewis County, New York",0
"Lewis County, Tennessee",0
"Lewis County, Washington",0
"Lewis County, West Virginia",0
"Liberty County, Texas",0
"Licking County, Ohio",0
"Limestone County, Texas",0
"Lincoln County, Arkansas",0
"Lincoln County, Kentucky",0
"Lincoln County, Maine",0
"Lincoln County, Mississippi",0
"Lincoln County, Oklahoma",0
"Lincoln County, Oregon",0
"Lincoln County, Tennessee",0
"Lincoln County, Washington",0
"Lincoln County, West Virginia",0
"Lincoln County, Wisconsin",0
"Linn County, Missouri",0
"Litchfield County, Connecticut",0
"Little River County, Arkansas",0
"Live Oak County, Texas",0
"Livingston County, Illinois",0
"Livingston County, Kentucky",0
"Livingston County, Michigan",0
"Livingston County, New York",0
"Logan County, Arkansas",0
"Logan County, Colorado",0
"Logan County, Kentucky",0
"Logan County, Ohio",0
"Logan County, West Virginia",0
"Lorain County, Ohio",0
"Los Angeles County, California",0.021
"Louisa County, Iowa",0
"Love County, Oklahoma",0
"Lowndes County, Alabama",0
"Lowndes County, Mississippi",0
"Lucas County, Iowa",0
"Lucas County, Ohio",0
"Luna County, New Mexico",0
"Lunenburg County, Virginia",0
"Luzerne County, Pennsylvania",0
"Lycoming County, Pennsylvania",0
"Lyon County, Kansas",0
"Lyon County, Kentucky",0
"Macomb County, Michigan",0
"Macon County, Alabama",0
"Macon County, Georgia",0
"Macon County, Illinois",0
"Macon County, Missouri",0
"Macon County, North Carolina",0
"Macoupin County, Illinois",0
"Madison County, Arkansas",0
"Madison County, Florida",0
"Madison County, Georgia",0
"Madison County, Illinois",0
"Madison County, Indiana",0
"Madison County, Montana",0
"Madison County, Nebraska",0
"Madison County, New York",0
"Madison County, North Carolina",0
"Madison County, Ohio",0
"Madison County, Tennessee",0
"Madison County, Virginia",0
"Madison Parish, Louisiana",0
"Magoffin County, Kentucky",0
"Mahaska County, Iowa",0
"Mahoning County, Ohio",0
"Major County, Oklahoma",0
"Malheur County, Oregon",0
"Manistee County, Michigan",0
"Manitowoc County, Wisconsin",0
"Marathon County, Wisconsin",0
"Marengo County, Alabama",0
"Maries County, Missouri",0
"Marinette County, Wisconsin",0
"Marion County, Alabama",0
"Marion County, Florida",0
"Marion County, Illinois",0
"Marion County, Iowa",0
"Marion County, Kentucky",0
"Marion County, Mississippi",0
"Marion County, Ohio",0
"Marion County, South Carolina",0
"Marion County, West Virginia",0
"Mariposa County, California",0
"Marlboro County, South Carolina",0
"Marquette County, Michigan",0
"Marquette County, Wisconsin",0
"Marshall County, Illinois",0
"Marshall County, Indiana",0
"Marshall County, Iowa",0
"Marshall County, Kentucky",0
"Marshall County, Minnesota",0
"Marshall County, Mississippi",0
"Marshall County, West Virginia",0
"Martin County, Kentucky",0
"Martin County, Minnesota",0
"Mason County, Illinois",0
"Mason County, Kentucky",0
"Mason County, Michigan",0
"Mason County, Washington",0
"Mason County, West Virginia",0
"Massac County, Illinois",0
"Matagorda County, Texas",0
"Mathews County, Virginia",0
"Mayes County, Oklahoma",0.004
"McCook County, South Dakota",0.001
"McCracken County, Kentucky",0
"McCulloch County, Texas",0
"McCurtain County, Oklahoma",0
"McDonald County, Missouri",0
"McDonough County, Illinois",0
"McDowell County, North Carolina",0
"McDuffie County, Georgia",0
"McHenry County, Illinois",0
"McIntosh County, Oklahoma",0
"McKean County, Pennsylvania",0
"McLean County, Kentucky",0
"McLeod County, Minnesota",0
"McMinn County, Tennessee",0
"McNairy County, Tennessee",0
"McPherson County, Kansas",0
"Meade County, Kentucky",0
"Mecklenburg County, Virginia",0
"Medina County, Ohio",0
"Meeker County, Minnesota",0
"Meigs County, Ohio",0
"Meigs County, Tennessee",0
"Menard County, Illinois",0
"Mendocino County, California",0
"Menifee County, Kentucky",0
"Menominee County, Michigan",0
"Mercer County, Kentucky",0
"Mercer County, New Jersey",0
"Mercer County, Ohio",0
"Mercer County, Pennsylvania",0
"Mercer County, West Virginia",0
"Meriwether County, Georgia",0
"Merrimack County, New Hampshire",0
"Metcalfe County, Kentucky",0
"Miami County, Indiana",0
"Miami County, Kansas",0
"Miami County, Ohio",0
"Middlesex County, Connecticut",0
"Midland County, Michigan",0
"Mifflin County, Pennsylvania",0
"Milam County, Texas",0
"Mille Lacs County, Minnesota",0
"Miller County, Arkansas",0
"Miller County, Missouri",0.003
"Mills County, Iowa",0
"Milwaukee County, Wisconsin",0
"Mineral County, West Virginia",0
"Missaukee County, Michigan",0
"Mississippi County, Arkansas",0
"Mississippi County, Missouri",0
"Mitchell County, Georgia",0
"Mitchell County, Iowa",0
"Mitchell County, North Carolina",0
"Mobile County, Alabama",0
"Modoc County, California",0
"Moniteau County, Missouri",0
"Monmouth County, New Jersey",0
"Monroe County, Alabama",0
"Monroe County, Kentucky",0
"Monroe County, Michigan",0
"Monroe County, Mississippi",0
"Monroe County, Missouri",0
"Monroe County, New York",0
"Monroe County, Ohio",0
"Monroe County, Pennsylvania",0
"Monroe County, Tennessee",0
"Monroe County, West Virginia",0
"Monroe County, Wisconsin",0
"Montague County, Texas",0
"Montcalm County, Michigan",0
"Montezuma County, Colorado",0
"Montgomery County, Alabama",0
"Montgomery County, Arkansas",0
"Montgomery County, Georgia",0
"Montgomery County, Illinois",0
"Montgomery County, Indiana",0
"Montgomery County, Kansas",0
"Montgomery County, Mississippi",0
"Montgomery County, New York",0
"Montgomery County, North Carolina",0
"Montgomery County, Ohio",0
"Montgomery County, Pennsylvania",0
"Montour County, Pennsylvania",0
"Montrose County, Colorado",0
"Moore County, Tennessee",0
"Mora County, New Mexico",0
"Morehouse Parish, Louisiana",0
