County,W Weight,Unit Number
"Avoyelles Parish, Louisiana",0,83
"Baca County, Colorado",0.013,84
"Bacon County, Georgia",0.001,85
"Baker County, Florida",0.015,86
"Baker County, Georgia",0.01,87
"Baldwin County, Alabama",0,88
"Baldwin County, Georgia",0.02,89
"Ballard County, Kentucky",0.004,90
"Baltimore County, Maryland",0.007,91
"Baltimore city, Maryland",0.001,92
"Banks County, Georgia",0,93
"Banner County, Nebraska",0.023,94
"Baraga County, Michigan",0.031,95
"Barbour County, Alabama",0,96
"Barbour County, West Virginia",0.022,97
"Barnes County, North Dakota",0.016,98
"Barnstable County, Massachusetts",0,99
"Barren County, Kentucky",0.036,100
"Barron County, Wisconsin",0,101
"Barrow County, Georgia",0.021,102
"Barry County, Michigan",0.016,103
"Bartholomew County, Indiana",0.042,104
"Bartow County, Georgia",0,105
"Bath County, Kentucky",0.006,106
"Bath County, Virginia",0.029,107
"Baxter County, Arkansas",0,108
"Bay County, Florida",0,109
"Bay County, Michigan",0,110
"Bayfield County, Wisconsin",0.015,111
"Beadle County, South Dakota",0.007,112
"Beaufort County, North Carolina",0.003,113
"Beauregard Parish, Louisiana",0,114
"Beaver County, Oklahoma",0,115
"Beaver County, Pennsylvania",0.048,116
"Beaver County, Utah",0.027,117
"Beaverhead County, Montana",0.03,118
"Becker County, Minnesota",0,119
"Beckham County, Oklahoma",0.075,120
"Bedford County, Pennsylvania",0,121
"Bedford County, Tennessee",0,122
"Bedford County, Virginia",0.007,123
"Belknap County, New Hampshire",0,124
"Bell County, Kentucky",0.026,125
"Belmont County, Ohio",0,126
"Beltrami County, Minnesota",0,127
"Ben Hill County, Georgia",0,128
"Bennett County, South Dakota",0.016,129
"Bennington County, Vermont",0,130
"Benson County, North Dakota",0.034,131
"Bent County, Colorado",0.01,132
"Benton County, Indiana",0,134
"Benton County, Iowa",0.001,135
"Benton County, Minnesota",0.039,136
"Benton County, Mississippi",0.001,137
"Benton County, Tennessee",0,138
"Benton County, Washington",0,139
"Benzie County, Michigan",0,140
"Bergen County, New Jersey",0.044,141
"Berkeley County, West Virginia",0.015,142
"Berks County, Pennsylvania",0,143
"Berkshire County, Massachusetts",0,144
"Berrien County, Georgia",0,145
"Berrien County, Michigan",0,146
"Bertie County, North Carolina",0.04,147
"Bibb County, Alabama",0,148
"Bibb County, Georgia",0,149
"Bienville Parish, Louisiana",0.001,150
"Big Horn County, Montana",0,151
"Big Stone County, Minnesota",0.031,153
"Billings County, North Dakota",0.001,154
"Black Hawk County, Iowa",0.078,155
